15:22:55.946 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:40:28.390 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:10.121 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:43:30.232 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aded01cce28225e9e7260fe5efd50e70)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:43:30.899 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aded01cce28225e9e7260fe5efd50e70)] -> xpath: //span[normalize-space()='Create Memo']]
15:43:40.325 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:40.964 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:43.432 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:44.697 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aded01cce28225e9e7260fe5efd50e70)] -> xpath: //button[normalize-space()='Done']]
15:43:45.748 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:46.672 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:47.596 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:48.504 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:49.161 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aded01cce28225e9e7260fe5efd50e70)] -> xpath: //tbody/tr[1]/td[1]]
15:43:50.040 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (aded01cce28225e9e7260fe5efd50e70)] -> xpath: //button[normalize-space()='SAVE']]
15:43:50.873 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:54.151 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:43:55.068 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:06.758 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:47:26.883 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (72b7d24a806e1960d897bd4b15212195)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:47:27.299 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (72b7d24a806e1960d897bd4b15212195)] -> xpath: //span[normalize-space()='Create Memo']]
15:47:35.612 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:36.056 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:38.251 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:39.564 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (72b7d24a806e1960d897bd4b15212195)] -> xpath: //button[normalize-space()='Done']]
15:47:40.778 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:41.514 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:41.739 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:42.790 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:47:53.966 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: Proxy element for: DefaultElementLocator 'By.xpath: //tbody/tr[1]/td[1]'
15:48:24.729 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: modal-container
15:48:44.864 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (1d76e5209795231e98ec5fbf8ed33572)] -> xpath: //button[@class='btn btn-primary ng-star-inserted']]
15:48:45.415 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (1d76e5209795231e98ec5fbf8ed33572)] -> xpath: //span[normalize-space()='Create Memo']]
15:48:54.840 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:48:55.315 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:48:56.489 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:48:57.761 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (1d76e5209795231e98ec5fbf8ed33572)] -> xpath: //button[normalize-space()='Done']]
15:48:58.987 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:48:59.895 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:49:00.788 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:49:02.086 [main] INFO  com.billhub.qa.base.TestBase - Waiting for element invisibility: By.className: loader-overlay
15:49:02.180 [main] INFO  com.billhub.qa.base.TestBase - Waiting for web element to be clickable: [[ChromeDriver: chrome on windows (1d76e5209795231e98ec5fbf8ed33572)] -> xpath: //tbody/tr[1]/td[1]]
